Scanning 11 equip archives...
Processing S3D:  gequip.s3d Skip Images:  true
[PFS] Directory count: 854 at offset 2455341
  [364] Entry: CRC=0x7bff558f, Offset=1709189, Size=5176
  [365] Entry: CRC=0x7c1c5ed2, Offset=596636, Size=5174
  [366] Entry: CRC=0x7c96ce39, Offset=555633, Size=3126
  [367] Entry: CRC=0x7cfebe2f, Offset=797006, Size=5174
  [368] Entry: CRC=0x7d4dad08, Offset=623248, Size=5174
  [369] Entry: CRC=0x7daf4df5, Offset=785875, Size=5174
  [370] Entry: CRC=0x7e0691b6, Offset=94160, Size=5176
  [371] Entry: CRC=0x7e3334a4, Offset=174500, Size=1336
  [372] Entry: CRC=0x7eb49571, Offset=2203934, Size=1020
  [373] Entry: CRC=0x7f18e11b, Offset=1302576, Size=5174
  [374] Entry: CRC=0x800b728b, Offset=312544, Size=3128
  [375] Entry: CRC=0x809df169, Offset=613516, Size=5174
  [376] Entry: CRC=0x80bf7c1c, Offset=1282359, Size=5174
  [377] Entry: CRC=0x816b85d6, Offset=1929961, Size=1928
  [378] Entry: CRC=0x82004eae, Offset=7954, Size=5176
  [379] Entry: CRC=0x820c34d5, Offset=886422, Size=5174
  [380] Entry: CRC=0x8222b928, Offset=2303910, Size=5174
  [381] Entry: CRC=0x825f3cc1, Offset=774020, Size=5174
  [382] Entry: CRC=0x827936f4, Offset=523486, Size=5174
  [383] Entry: CRC=0x82eed428, Offset=670312, Size=5174
  [384] Entry: CRC=0x830ecf1b, Offset=764506, Size=5174
  [385] Entry: CRC=0x8382803e, Offset=1310862, Size=180
  [386] Entry: CRC=0x83e97fa0, Offset=2364067, Size=2088
  [387] Entry: CRC=0x841a91f7, Offset=592123, Size=5174
  [388] Entry: CRC=0x845b8743, Offset=899820, Size=5174
  [389] Entry: CRC=0x84a92ef2, Offset=1695058, Size=5176
  [390] Entry: CRC=0x84b967be, Offset=719884, Size=5174
  [391] Entry: CRC=0x84cc4b4f, Offset=2286925, Size=2104
  [392] Entry: CRC=0x84ea6faa, Offset=833748, Size=5174
  [393] Entry: CRC=0x852902c0, Offset=1965644, Size=9272
  [394] Entry: CRC=0x85597c8d, Offset=583367, Size=5174
  [395] Entry: CRC=0x858ec9e5, Offset=227854, Size=1136
  [396] Entry: CRC=0x85bb9c70, Offset=806219, Size=1236
  [397] Entry: CRC=0x85ddb076, Offset=71841, Size=228
  [398] Entry: CRC=0x85e89464, Offset=687440, Size=5174
  [399] Entry: CRC=0x8675f2c8, Offset=2430011, Size=1336
  [400] Entry: CRC=0x86911f88, Offset=2044262, Size=17464
  [401] Entry: CRC=0x86994a74, Offset=1992995, Size=17464
  [402] Entry: CRC=0x86b99014, Offset=2272771, Size=2656
  [403] Entry: CRC=0x873940a7, Offset=349271, Size=17180
  [404] Entry: CRC=0x877efe11, Offset=1818355, Size=5176
  [405] Entry: CRC=0x87f52acd, Offset=207234, Size=5176
